x,y
0,24.5
1,25.6
2,26.7
3,27.8
4,28.9
5,30
6,31.1
7,32.2
8,33.3
9,34.4
10,35.5
11,36.6
12,37.7
13,38.8
14,39.9
15,41
16,42.1
17,43.2
18,44.3
19,45.4
20,46.5
21,47.6
22,48.7
23,49.8
24,50.9
25,52
26,53.1
27,54.2
28,55.3
29,56.4
30,57.5
31,58.6
32,59.7
33,60.8
34,61.9
35,63
36,64.1
37,65.2
38,66.3
39,67.4
40,68.5
41,69.6
42,70.7
43,71.8
44,72.9
45,74
46,75.1
47,76.2
48,77.3
49,78.4
50,79.5
51,80.6
52,81.7
53,82.8
54,83.9
55,85
56,86.1
57,87.2
58,88.3
59,89.4
60,90.5
61,91.6
62,92.7
63,93.8
64,94.9
65,96
66,97.1
67,98.2
68,99.3
69,100.4
70,101.5
71,102.6
72,103.7
73,104.8
74,105.9
75,107
76,108.1
77,109.2
78,110.3
79,111.4
80,112.5
81,113.6
82,114.7
83,115.8
84,116.9
85,118
86,119.1
87,120.2
88,121.3
89,122.4
90,123.5
91,124.6
92,125.7
93,126.8
94,127.9
95,129
96,130.1
97,131.2
98,132.3
99,133.4
