x,y
0,23.5
1,25.7
2,27.9
3,30.1
4,32.3
5,34.5
6,36.7
7,38.9
8,41.1
9,43.3
10,45.5
11,47.7
12,49.9
13,52.1
14,54.3
15,56.5
16,58.7
17,60.9
18,63.1
19,65.3
20,67.5
21,69.7
22,71.9
23,74.1
24,76.3
25,78.5
26,80.7
27,82.9
28,85.1
29,87.3
30,89.5
31,91.7
32,93.9
33,96.1
34,98.3
35,100.5
36,102.7
37,104.9
38,107.1
39,109.3
40,111.5
41,113.7
42,115.9
43,118.1
44,120.3
45,122.5
46,124.7
47,126.9
48,129.1
49,131.3
50,133.5
51,135.7
52,137.9
53,140.1
54,142.3
55,144.5
56,146.7
57,148.9
58,151.1
59,153.3
60,155.5
61,157.7
62,159.9
63,162.1
64,164.3
65,166.5
66,168.7
67,170.9
68,173.1
69,175.3
70,177.5
71,179.7
72,181.9
73,184.1
74,186.3
75,188.5
76,190.7
77,192.9
78,195.1
79,197.3
80,199.5
81,201.7
82,203.9
83,206.1
84,208.3
85,210.5
86,212.7
87,214.9
88,217.1
89,219.3
90,221.5
91,223.7
92,225.9
93,228.1
94,230.3
95,232.5
96,234.7
97,236.9
98,239.1
99,241.3
